ylogistic,xlorenz,ylorenz,zlorenz,tent
6.700129102941276837e-01,3.269878234777554571e+00,2.891769982317027754e+00,2.215399987775766277e+01,-6.273442618103028945e-01
8.401633192666193573e-01,3.194256584285449119e+00,3.216248753875230015e+00,2.116156793211381881e+01,-3.713766291814968312e-03
5.102978816569607723e-01,3.198655018203405476e+00,3.588797911978409250e+00,2.023842145090973332e+01,3.547138058357115042e+00
9.495970238068409675e-01,3.276683596958406053e+00,4.013554197243390576e+00,1.938862550253723427e+01,-3.318468750624100849e+00
1.818775614993173306e-01,3.424057717015402957e+00,4.497618104560566543e+00,1.861758841980746837e+01,-3.077558562179619095e+00
5.654328336650416009e-01,3.638769794524435497e+00,5.050184117976813880e+00,1.793265245033324717e+01,-2.822556011993575531e+00
9.337304682585393367e-01,3.921052659214911085e+00,5.681835639111416647e+00,1.734377346815442777e+01,-2.551049923473863501e+00
2.351359474360671664e-01,4.273209255194212020e+00,6.403871433926979329e+00,1.686434775135872144e+01,-2.259788012506381616e+00
6.834187279057588604e-01,4.699341690940765481e+00,7.227493450278802634e+00,1.651221752489686878e+01,-1.944177011615606521e+00
8.221587669630460171e-01,5.204972042808372557e+00,8.162643883707444203e+00,1.631085514940696513e+01,-1.597308375348031717e+00
5.556121697016292993e-01,5.796506410988186531e+00,9.216224449066778845e+00,1.629066953897388714e+01,-1.207794334420976501e+00
9.382476890080932996e-01,6.480450018603905349e+00,1.038936414179978485e+01,1.649027191231104794e+01,-7.538967412820309910e-01
2.201680597004490314e-01,7.262232843243081604e+00,1.167334121096358501e+01,1.695734584457464322e+01,-1.807180682433209284e-01
6.524375237151164297e-01,8.144454516787181575e+00,1.304376090042640790e+01,1.774844450485018399e+01,8.530143811298616097e-01
8.616986451816925907e-01,9.124315793515027195e+00,1.445275223154922628e+01,1.892654714555223805e+01,-3.124692732404730222e-01
4.528615422801665069e-01,1.019000308112186737e+01,1.581947817054927619e+01,2.055456080671113384e+01,5.250442158889960798e-01
9.415562700544226615e-01,1.131589809900734878e+01,1.702046957353667267e+01,2.268232818967928566e+01,1.497208689355349343e-01
2.091066294273778992e-01,1.245681239391321427e+01,1.788354482865700135e+01,2.532464200539097732e+01,9.578843790245155088e-01
6.284479784362168031e-01,1.354215888086197239e+01,1.819240258459187132e+01,2.842943368914446722e+01,-4.470692643885798567e-01
8.873042439754668109e-01,1.447220762160795182e+01,1.771224534795625161e+01,3.184048535022637338e+01,2.758739639431244672e-01
3.799826058746498814e-01,1.512021516687761213e+01,1.624639441387272853e+01,3.526903197395728284e+01,6.039456726212446558e-01
8.952641354079694525e-01,1.534545101627663577e+01,1.372327997557233026e+01,3.830099651982050801e+01,3.041335469706352157e-02
3.563118003887235097e-01,1.502101680813577467e+01,1.028734562578604894e+01,4.047007511838598504e+01,1.864191828770869641e+00
8.715440649113858074e-01,1.407428257166582952e+01,6.335334554230495741e+00,4.140219894319275085e+01,-1.508381842254315153e+00
4.254290297506709284e-01,1.252649296817876312e+01,2.436101162982367008e+00,4.097738744026803914e+01,-1.106037756750700485e+00
9.288688475050800308e-01,1.050841460713948372e+01,-8.638439105942601337e-01,3.940224285854448993e+01,-6.309189966369732616e-01
2.510717442307247582e-01,8.233962903592734861e+00,-3.242956940559990731e+00,3.711923730672123867e+01,-8.883493392383368104e-03
7.145319492227318880e-01,5.938578934762189121e+00,-4.679847035600823268e+00,3.460549690743238216e+01,2.748388716969465850e+00
7.751089624982416826e-01,3.814893740689586643e+00,-5.370795390651101897e+00,3.220403758523208637e+01,-2.471729571214283272e+00
6.623972232619359524e-01,1.977755914421449157e+00,-5.584138616228592866e+00,3.007670863965332231e+01,-2.174194552132848735e+00
8.497831391318890759e-01,4.653770082914407968e-01,-5.554600299796110363e+00,2.825173624870123845e+01,-1.850672185082969712e+00
4.850766712003578007e-01,-7.386184533260693463e-01,-5.445851339046170025e+00,2.669327731670836101e+01,-1.493303483279685206e+00
9.491537181786434685e-01,-1.680065030470089704e+00,-5.356237702010425927e+00,2.535008398567904919e+01,-1.088690158633919491e+00
1.833915622959389480e-01,-2.415299564778156771e+00,-5.338153572557083670e+00,2.417805605960349880e+01,-6.097099191824350006e-01
5.690845692634559638e-01,-2.999870366333942329e+00,-5.416013291822865838e+00,2.314642453643496722e+01,2.195846984672222835e-02
9.318638247007944297e-01,-3.483098951431727208e+00,-5.598894970064693943e+00,2.223689531671463726e+01,2.075804259729050916e+00
2.412758202762456672e-01,-3.906258155158320644e+00,-5.888386348250250535e+00,2.144095767047803136e+01,-1.742692240015480287e+00
6.956348355398276340e-01,-4.302683793776706622e+00,-6.283044873079721704e+00,2.075747107192404428e+01,-1.372340452377681430e+00
8.045626422685573376e-01,-4.698756009637309994e+00,-6.780630212513955257e+00,2.019108505510753560e+01,-9.484201005840980914e-01
5.975180683507000934e-01,-5.115130850212638691e+00,-7.378861328784877216e+00,1.975143772470536518e+01,-4.350926385351415737e-01
9.138628601115631467e-01,-5.567876945927086041e+00,-8.075133609494374198e+00,1.945290453716724954e+01,2.961809568735290776e-01
2.991266254770514887e-01,-6.069328278640544028e+00,-8.865414452947376844e+00,1.931464330037669086e+01,5.593539852611958407e-01
7.966695721495002935e-01,-6.628545513501910236e+00,-9.742391784430505908e+00,1.936067120384610973e+01,9.696675614157179712e-02
6.155512268504031992e-01,-7.251314767687629725e+00,-1.069286763137017005e+01,1.961965982004361209e+01,1.195059147943148936e+00
8.992620730987932465e-01,-7.939625340424138145e+00,-1.169437996884604125e+01,2.012402494226029148e+01,-7.386303375739677879e-01
3.442412285424447105e-01,-8.690576266108518411e+00,-1.271113819244869347e+01,2.090772352283038060e+01,-1.599488766593328837e-01
8.578089794333255691e-01,-9.494688651376552713e+00,-1.368963482110311958e+01,2.200198725275649636e+01,9.213162803706944626e-01
4.634963901001515896e-01,-1.033367788532186538e+01,-1.455482739592235220e+01,2.342812434015782586e+01,-4.006169881674566113e-01
9.449364485642626210e-01,-1.117790778744196345e+01,-1.520861665601495361e+01,2.518672233506780245e+01,3.563320199620292339e-01
1.977199156082808662e-01,-1.198404956115656184e+01,-1.553337548927629719e+01,2.724344076830730188e+01,4.379719627867533216e-01
6.027816522045136294e-01,-1.269391474678050891e+01,-1.540404084606188739e+01,2.951351209497508066e+01,2.912729583675561784e-01
9.098565414864194789e-01,-1.323593996663678496e+01,-1.471171215910395347e+01,3.185020974169309582e+01,5.699365005139058749e-01
3.116669385230054212e-01,-1.353109440513021866e+01,-1.339825501592167534e+01,3.404599866768960226e+01,8.097884885322481630e-02
8.152165002278698447e-01,-1.350452652728851000e+01,-1.149411034068725179e+01,3.585607314176840532e+01,1.293614623030796995e+00
5.724265203395546564e-01,-1.310244328996825836e+01,-9.142377171006902614e+00,3.704819960094193476e+01,-8.559473226680769375e-01
9.300667167757153964e-01,-1.231043006617598756e+01,-6.588459184633661536e+00,3.746804519059740102e+01,-3.162947309542949448e-01
2.471619526626750440e-01,-1.116603588986752271e+01,-4.125575837296123538e+00,3.709188476782462374e+01,5.171561133512161401e-01
7.070771029108647854e-01,-9.757943879353243588e+00,-2.012658088068809192e+00,3.603497747085302194e+01,1.620632021567351977e-01
7.870524791101638495e-01,-8.208886721096357419e+00,-4.043077416584039963e-01,3.450590009917489454e+01,9.140191134172039877e-01
6.368833220994939426e-01,-6.647970925208767312e+00,6.719023518326894262e-01,3.273196375625362009e+01,-3.912886772608774599e-01
8.787992332978235011e-01,-5.183996269800475787e+00,1.287623454210350182e+00,3.089692327659549775e+01,3.730856812697938008e-01
4.047423352413280773e-01,-3.889672324998310504e+00,1.562223774321527703e+00,2.911558666483972502e+01,4.064366048549192811e-01
9.155187137579530177e-01,-2.799293105134342596e+00,1.617764630362382050e+00,2.744122460443961486e+01,3.459885917742122619e-01
2.939079543643579595e-01,-1.915881558034997489e+00,1.554125815512916287e+00,2.588712067802609695e+01,4.578821954655465376e-01
7.885990611577224918e-01,-1.221880083325414645e+00,1.442082768656192115e+00,2.444692382208856074e+01,2.577762200315556473e-01
6.335002112157482879e-01,-6.890875129290933154e-01,1.326412452956508670e+00,2.310784684063995087e+01,6.456490341376630582e-01
8.822752357003321722e-01,-2.859875197519728962e-01,1.232461770828346070e+00,2.185714805730596666e+01,-3.006863880602894668e-02
3.946894478469707979e-01,1.770233836409090822e-02,1.172676955585886027e+00,2.068438412054908326e+01,1.871370353076284410e+00
9.078568128998516507e-01,2.486972618084499209e-01,1.151813486626963368e+00,1.958163214993832213e+01,-1.516382265589276690e+00
3.178807166504665216e-01,4.293205067721526103e-01,1.170649717558556624e+00,1.854300749247970970e+01,-1.115230732584040263e+00
8.239637532025588795e-01,5.775863489294333908e-01,1.228438339524766665e+00,1.756409877148069043e+01,-6.421277183875627736e-01
5.511804491214638002e-01,7.077567470485000012e-01,1.324422254501644414e+00,1.664153742130994118e+01,-2.502104637597468706e-02
9.400461341853558750e-01,8.310898485391289281e-01,1.458714379934927363e+00,1.577273613457137280e+01,1.989316802969727238e+00
2.141657191963903251e-01,9.566147548182886151e-01,1.632779189815569687e+00,1.495576999498920578e+01,-1.647293690960898171e+00
6.395353028864362299e-01,1.091847641817744741e+00,1.849689663779993554e+00,1.418936774187653782e+01,-1.264605652835779637e+00
8.760136171438839270e-01,1.243416046210194637e+00,2.114277995765277307e+00,1.347299304825964583e+01,-8.216066786532558730e-01
4.127322869450161802e-01,1.417588436121211215e+00,2.433254706793992028e+00,1.280701196274080544e+01,-2.712567511997008296e-01
9.210605157809813592e-01,1.620721690255767289e+00,2.815337695693042708e+00,1.219295839941773529e+01,6.143974441115975793e-01
2.762905597909650068e-01,1.859644891343222417e+00,3.271407245395960395e+00,1.163392486215821009e+01,1.510623507919861552e-02
7.598255281731687294e-01,2.141997362153770013e+00,3.814680860916577210e+00,1.113512198493784844e+01,2.337297131146022000e+00
6.934646406562287035e-01,2.476534061906331630e+00,4.460877728124410524e+00,1.070466953923866527e+01,-2.028533676857488199e+00
8.077714446998739417e-01,2.873402795149947231e+00,5.228309673521954082e+00,1.035470414327325805e+01,-1.690610034322315602e+00
5.900516037439392791e-01,3.344384170824348690e+00,6.137784328770843345e+00,1.010291404822816830e+01,-1.313631144426638642e+00
9.191846929199491978e-01,3.903064202413647710e+00,7.212123261415197106e+00,9.974634140717498099e+00,-8.795563760506400763e-01
2.822799342421100088e-01,4.564876014213957944e+00,8.474964000602385639e+00,1.000564125571305318e+01,-3.469517182678819589e-01
7.698722972722441549e-01,5.346893611491643661e+00,9.948305053049471880e+00,1.024575025316188892e+01,4.560132499352081981e-01
6.732419840270056355e-01,6.267175899803209660e+00,1.164794064295239906e+01,1.076316081432632643e+01,2.608888332691569056e-01
8.359514168874695450e-01,7.343328848433047895e+00,1.357550789275810388e+01,1.164911942849258075e+01,6.383315636036678287e-01
5.211192528669461588e-01,8.589764657298058381e+00,1.570539559486361902e+01,1.302162143379339909e+01,-1.956772568980447158e-02
9.483051132016995233e-01,1.001289084481117087e+01,1.796450261959899208e+01,1.502524799751730100e+01,2.154146040418988051e+00
1.862855968134032314e-01,1.160321319976873511e+01,2.020350807799410120e+01,1.782143351387709274e+01,-1.828714206070652049e+00
5.760164382864541022e-01,1.332327217541380904e+01,2.216151945656432076e+01,2.155946929204795737e+01,-1.468783334677803865e+00
9.280417042189184063e-01,1.509092163164391209e+01,2.343446793895614633e+01,2.631491004061610539e+01,-1.060417971218773125e+00
2.537651379075830937e-01,1.675963089310635823e+01,2.347436979056367079e+01,3.198440255470442750e+01,-5.749767381123351839e-01
7.195998922232479389e-01,1.810257867259782216e+01,2.166934007182447175e+01,3.814700321454952814e+01,7.340805068419076207e-02
7.667483718750439659e-01,1.881593095244315350e+01,1.756221479073826686e+01,4.395791504510980019e+01,1.347754344017209505e+00
6.796121631876502756e-01,1.856518772010217688e+01,1.120570994224870631e+01,4.822248132686075195e+01,-9.196489111321627385e-01
8.274099891732009660e-01,1.709329216453148348e+01,3.472912503415116703e+00,4.981133782839209800e+01,-3.984872884938884807e-01
5.426502561604967800e-01,1.436921623230820977e+01,-4.053097146653261262e+00,4.834200330586576655e+01,3.601377928857493194e-01
9.430876314678872108e-01,1.068475355651591663e+01,-9.818008085726468437e+00,4.459896654333668664e+01,4.307331507755346456e-01
2.039587331926755176e-01,6.584201228067439793e+00,-1.316876526018004689e+01,4.012229505812137376e+01,3.036441463759756987e-01
6.169663597190351290e-01,2.633607930417941834e+00,-1.450170255515001827e+01,3.624832331372405037e+01,5.434835703136861040e-01
8.980117086374935775e-01,-7.934541666956498318e-01,-1.464612549788051510e+01,3.355124342658266556e+01,1.211877870913217192e-01
3.480293831923590986e-01,-3.563988432932622796e+00,-1.426510984337962817e+01,3.199426436320973721e+01,1.073677895272591609e+00
8.622387401829996190e-01,-5.704212715022023872e+00,-1.369509740674094544e+01,3.130471732669824902e+01,-5.912934056388049475e-01
4.513757614204064739e-01,-7.302389653365808364e+00,-1.304417924671601092e+01,3.119752737782761187e+01,4.908567286095466553e-02
9.410155970057080266e-01,-8.450747572035849586e+00,-1.231630384497764652e+01,3.143873284236750010e+01,1.575436719255367990e+00
2.109199241512559331e-01,-9.223858826624208973e+00,-1.148878050370775128e+01,3.184363992039591196e+01,-1.182851359730330065e+00
6.324442970396806363e-01,-9.676843162040917434e+00,-1.054994105351141620e+01,3.226473024710025328e+01,-7.239643026170025086e-01
8.833423310903264492e-01,-9.851462740335017898e+00,-9.513559717849163988e+00,3.258574713279370627e+01,-1.398608890926306136e-01
3.915848973380912090e-01,-9.783882135837847827e+00,-8.419762183185873994e+00,3.272229020081157103e+01,9.953581265947911705e-01
9.053354289562695056e-01,-9.511058145307453415e+00,-7.327320324802907514e+00,3.262466060634312726e+01,-4.941942797612167704e-01
3.256721221247805831e-01,-9.074310581206544768e+00,-6.301065599722003086e+00,3.227849010050803003e+01,1.984902098215800548e-01
8.345172057829858270e-01,-8.519661584909636431e+00,-5.398557327915013637e+00,3.170052715336961313e+01,7.996940407118823257e-01
5.247733083335452964e-01,-7.895440733510711517e+00,-4.660041400707151560e+00,3.092971000146796712e+01,-2.422216554242376807e-01
9.476678761380020743e-01,-7.248360866949999703e+00,-4.104213539033730207e+00,3.001598708195613341e+01,6.832111776841757189e-01
1.884551961615436311e-01,-6.619531401366745449e+00,-3.729877230790504594e+00,2.901011085370391029e+01,-8.329077172691901065e-02
5.811713737647794531e-01,-6.041600567251497189e+00,-3.521550475875606434e+00,2.795670573055557995e+01,1.278156670592970112e+00
9.249625907083262044e-01,-5.537590548976319305e+00,-3.456350800014777125e+00,2.689119745197904621e+01,-8.376671142998051156e-01
2.637458266941769547e-01,-5.121342599184011135e+00,-3.510025674226515680e+00,2.583979736502233493e+01,-2.923883353730802881e-01
7.378990692632120263e-01,-4.799079214192511600e+00,-3.661087916289598621e+00,2.482119571908072686e+01,5.675211071512129557e-01
7.349353248060502830e-01,-4.571480954611929270e+00,-3.892972828974723853e+00,2.384879563247102396e+01,8.461687845759380266e-02
7.402604940014474444e-01,-4.435779329484487832e+00,-4.194656406492440759e+00,2.293279288829549500e+01,1.269494204841864482e+00
7.306446010842856387e-01,-4.387554744886078772e+00,-4.560303529648904508e+00,2.208184200456391366e+01,-8.274043666376044159e-01
7.478516583645486993e-01,-4.422104501838643564e+00,-4.988422302933147812e+00,2.130431539211313918e+01,-2.788992651515412868e-01
7.165643106945834839e-01,-4.535368062057544059e+00,-5.480834197823049259e+00,2.060927173232456511e+01,5.971632276918906745e-01
7.717796174668435372e-01,-4.724461289210645454e+00,-6.041610972677808888e+00,2.000726258075204456e+01,4.040311960414666448e-02
6.693161902123895279e-01,-4.987891225904077963e+00,-6.676006323865499859e+00,1.951107571974300114e+01,1.690066309777762399e+00
8.410617053814553046e-01,-5.325514245496361987e+00,-7.389322816085349466e+00,1.913646888202781682e+01,-1.313016893443543776e+00
5.079722698647147761e-01,-5.738275959614159483e+00,-8.185593584446865023e+00,1.890289608675234234e+01,-8.788329003271165840e-01
9.497584830701758518e-01,-6.227739484580700591e+00,-9.065915566507946721e+00,1.883416552640828456e+01,-3.460157920640104523e-01
1.813257662443744922e-01,-6.795374700966149817e+00,-1.002624584038414923e+01,1.895887990508150267e+01,4.578293701106380675e-01
5.640975844130068362e-01,-7.441548928849750055e+00,-1.105447689880458384e+01,1.931038159006542543e+01,2.578641102015667430e-01
9.343876987551862356e-01,-8.164134522840717167e+00,-1.212667177223972637e+01,1.992574318643447384e+01,6.454415431313657026e-01
2.329678432466595617e-01,-8.956641972720518652e+00,-1.320252471275317596e+01,2.084311247641597475e+01,-2.977150180387921896e-02
6.790365435867058430e-01,-9.805818520727049403e+00,-1.422050780225356270e+01,2.209648555076962140e+01,1.877637135050454820e+00
8.281944810299971538e-01,-1.068875637703235171e+01,-1.509387347268135215e+01,2.370688069702487155e+01,-1.523363342008654531e+00
5.406958539615132064e-01,-1.156977979616215180e+01,-1.570975812976844743e+01,2.566920845322172440e+01,-1.123246008732357915e+00
9.437066203873040182e-01,-1.239777546288341092e+01,-1.593489786611269565e+01,2.793535284663101592e+01,-6.518836301701504965e-01
2.018728530930121445e-01,-1.310519994352926787e+01,-1.563222952662610687e+01,3.039661307683826408e+01,-3.898019955870735131e-02
6.122567762529771418e-01,-1.361060586014863638e+01,-1.469142306490873828e+01,3.287273024959843326e+01,1.711571455858772239e+00
9.021139815040982723e-01,-1.382676930110065605e+01,-1.307117838580840363e+01,3.511870134684324540e+01,-1.337290051445880756e+00
3.355565143399024675e-01,-1.367565111804220557e+01,-1.084118199316751330e+01,3.686034730236039536e+01,-9.073743161478226016e-01
8.472416920910377236e-01,-1.310875729306726711e+01,-8.200937983468818970e+00,3.785966656581638290e+01,-3.827766094701700039e-01
4.918081876402611852e-01,-1.212719343114757820e+01,-5.451959703762302212e+00,3.799056646098862444e+01,3.885690720714355395e-01
9.497449979989988078e-01,-1.079214668567052371e+01,-2.919769870504165254e+00,3.728674231452951204e+01,3.780118508239217467e-01
1.813718597445461156e-01,-9.217671322637251308e+00,-8.568967672855642981e-01,3.592832775237224752e+01,3.973212921876548842e-01
5.642092113019330224e-01,-7.545516411566913995e+00,6.218555552503615136e-01,3.417012212741110488e+01,3.622261786758981250e-01
9.343332732991380674e-01,-5.912042018203458760e+00,1.540553599620407166e+00,3.225387118799386599e+01,4.267801256658513287e-01
2.331475092799736859e-01,-4.421522894638685308e+00,2.012723831696895171e+00,3.035150837238918342e+01,3.104456328719863434e-01
6.794010431467693012e-01,-3.134673549371568946e+00,2.180414317172023608e+00,2.855477516914643843e+01,5.292421943866795209e-01
8.276980097278338055e-01,-2.071655976062850346e+00,2.171586811800012562e+00,2.689515608505775646e+01,1.431863533440674852e-01
5.419332547975828085e-01,-1.223007418490277720e+00,2.082377945583876677e+00,2.537077214459724672e+01,9.824544551191393138e-01
9.433180881399076956e-01,-5.619303456754468629e-01,1.976419083231022222e+00,2.396672902337440192e+01,-4.780193258104640242e-01
2.031824763663127031e-01,-5.426045989415295701e-02,1.891562354484442432e+00,2.266629127828830903e+01,2.246289590223461419e-01
6.152175591230687468e-01,3.349041029815660875e-01,1.847942917631123061e+00,2.145536966924747801e+01,7.279293128254583634e-01
8.995546734649442211e-01,6.375118659114774600e-01,1.854820530283832980e+00,2.032346096019141868e+01,-1.453051944632893777e-01
3.433530390668228516e-01,8.809735987859486084e-01,1.915601814218369725e+00,1.926319244425838662e+01,9.743766534518504274e-01
8.567545725955186819e-01,1.087899241872432921e+00,2.031227713819641512e+00,1.826957407304686143e+01,-4.678662165350230273e-01
4.663594647423173756e-01,1.276564936261874728e+00,2.202317619323812536e+00,1.733939221094972183e+01,2.412542661682702816e-01
9.456995946727910773e-01,1.461715472874262289e+00,2.430450428992172451e+00,1.647085265539254806e+01,6.856053600900505751e-01
1.951371109723370190e-01,1.655462464097844366e+00,2.718888081665527423e+00,1.566345972040051393e+01,-8.664646413524368374e-02
5.968227517960860151e-01,1.868147587611380889e+00,3.072963907426378150e+00,1.491809554524475878e+01,1.256510361190140923e+00
9.143763479916073855e-01,2.109110851574380163e+00,3.500283194248122065e+00,1.423727878504121414e+01,-8.119961831653628170e-01
2.975105204555255067e-01,2.387345320109128366e+00,4.010819623596409755e+00,1.362560695521045950e+01,-2.585520639801721643e-01
7.941924405604696702e-01,2.712040180806584821e+00,4.616936030422231774e+00,1.309041214676313025e+01,6.438191796703303105e-01
6.211130700848831454e-01,3.093019350729714123e+00,5.333305336558670895e+00,1.264268315280347110e+01,-2.744695577758671234e-02
8.942601721675338400e-01,3.541076547895505300e+00,6.176648793500823409e+00,1.229832705017380690e+01,1.929390668703010903e+00
3.593238832412209982e-01,4.068190997016569277e+00,7.165132334537902103e+00,1.207985599790959341e+01,-1.580904130078161440e+00
