yfun0_noise,yfun1_noise,yfun2_noise,yfun3_noise,yfunsqrt_noise,yfunsin_noise,yfunsins_noise,yfunexp_noise,yfunlog_noise
5.016849756045185238e-01,2.771100163054449755e-02,2.362329635225857410e-03,1.702604438150497361e-03,1.630108136653387885e-01,9.834675800856859107e-01,8.432967246816225337e-01,3.210549371672747308e-03,4.734110817772056445e-01
5.237580274414087578e-01,5.078505446843583487e-02,2.448848763132845455e-02,2.377776960870393169e-02,1.881570147467661047e-01,1.011623262464350415e+00,8.748267227380499556e-01,2.529380567744608441e-02,5.009483971057602236e-01
4.953903191402286299e-01,2.341834716825667503e-02,-3.824110504631427279e-03,-4.587662871839501798e-03,1.628060532515362424e-01,9.881187756926896881e-01,8.583297370744076282e-01,-3.063629897787776418e-03,4.778462071755668061e-01
5.104210011483505394e-01,3.945003017737955947e-02,1.126368567471873819e-02,1.044546346192878374e-02,1.808000756529064834e-01,1.006781114696969404e+00,8.868521457616100889e-01,1.197739354991098418e-02,4.979576139141730362e-01
4.954571204846249799e-01,2.548715051465500619e-02,-3.641076811770517160e-03,-4.515798353104617281e-03,1.687488687879704352e-01,9.942082492448804931e-01,8.860697711080431915e-01,-2.976076500985865014e-03,4.879021964523674315e-01
4.906648551850591455e-01,2.169588621609017803e-02,-8.372219928092042643e-03,-9.305264262896495095e-03,1.668211239665902401e-01,9.905603810796173025e-01,8.951179053439807243e-01,-7.757861551775553643e-03,4.878574318059820114e-01
5.022552900594222658e-01,3.428732209145432530e-02,3.281341135523416393e-03,2.288156560358462713e-03,1.812302381164954679e-01,1.002045734614103623e+00,9.191201716328670779e-01,3.843123673101728373e-03,5.040446272910921177e-01
4.919082801343381828e-01,2.494131316737119644e-02,-7.000538594300382937e-03,-8.055674838679924635e-03,1.736581990697617095e-01,9.903444275235879779e-01,9.186580402917483568e-01,-6.493265330824055451e-03,4.981529165119804592e-01
5.222366379991114638e-01,5.627067203314554955e-02,2.339495347174130185e-02,2.227606014732914572e-02,2.067197917937982632e-01,1.018072657434984096e+00,9.552814061985233085e-01,2.384578449779452616e-02,5.328035594594626723e-01
5.033141222075919741e-01,3.834915724262701053e-02,4.541575887498102738e-03,3.357126090271364809e-03,1.904906031955490020e-01,9.953106818679050560e-01,9.380818435666103960e-01,4.934032188007259588e-03,5.180780273168869021e-01
5.068013050956489129e-01,4.283734113168490010e-02,8.099900988839352570e-03,6.848101344052124999e-03,1.966329042461486543e-01,9.937286698081065905e-01,9.378607989821929891e-01,8.432050554062211004e-03,5.256439530978844754e-01
4.942621608603438577e-01,3.129919789738087182e-02,-4.366097027173309816e-03,-5.687033876230871907e-03,1.867122505902190921e-01,9.749032658000343909e-01,9.154838621075994665e-01,-4.096185725400392115e-03,5.170717911959923363e-01
5.213529183700208458e-01,5.939095640805891474e-02,2.279981070780410374e-02,2.140795531580241828e-02,2.163863463715766378e-01,9.945064110876437047e-01,9.261011409930582916e-01,2.300555270276326628e-02,5.480237321321612676e-01
4.875606605283391293e-01,2.659969956737814889e-02,-1.091529290256927805e-02,-1.237984215815281057e-02,1.851436533162788278e-01,9.520439037056755982e-01,8.689099507751218976e-01,-1.077565076974504842e-02,5.179923558094761127e-01
5.112202002585509719e-01,5.126024029859101161e-02,1.282340506495898043e-02,1.128439264319193100e-02,2.113202753211057272e-01,9.658722276858547895e-01,8.621873680904811321e-01,1.289501727163420639e-02,5.453175545641775201e-01
4.940371633561898013e-01,3.507820439723084022e-02,-4.278469594077786119e-03,-5.893708466593956287e-03,1.966230489480568500e-01,9.377215817430912814e-01,8.078199380793738005e-01,-4.276816882972188545e-03,5.317096572724923087e-01
4.840349489409874195e-01,2.607699098302944385e-02,-1.419751775994777115e-02,-1.589074034974260682e-02,1.890765106840692489e-01,9.156427783078975313e-01,7.542479214297861390e-01,-1.426775361593068427e-02,5.251964260847754584e-01
4.916840363699526151e-01,3.472707941299567336e-02,-6.463260075642118622e-03,-8.236217631209109824e-03,1.991522099365096721e-01,9.101364819204664780e-01,7.125826385178217759e-01,-6.607313069000248298e-03,5.362523953510597297e-01
4.863265035944477899e-01,3.037054763849181618e-02,-1.173361858979853588e-02,-1.358805634159510750e-02,1.961932328395666614e-01,8.905776521405098789e-01,6.530102318663887351e-01,-1.195341678623369590e-02,5.342234183099741074e-01
4.963853437533844448e-01,4.143038879842949468e-02,-1.585600163505409242e-03,-3.523257323952927542e-03,2.086235237423889055e-01,8.854247779535582286e-01,6.049722399025301289e-01,-1.883071120759388650e-03,5.475360088295767591e-01
4.942365349406610542e-01,4.028258098670713105e-02,-3.643226702864326046e-03,-5.665836466348096907e-03,2.088199593845030955e-01,8.670918588172666919e-01,5.420020610430166252e-01,-4.020297467321172144e-03,5.485694335582440573e-01
5.053051224129287977e-01,5.235216945997583915e-02,7.518547048775845766e-03,5.409257505906576828e-03,2.222084350825306032e-01,8.610443918355734638e-01,4.907799646519157566e-01,7.059949945510264960e-03,5.627518141084775216e-01
5.096043973033764773e-01,5.765244535142451110e-02,1.191301222460399746e-02,9.715321744036045301e-03,2.288030470438528474e-01,8.473384493639338766e-01,4.326273477932022771e-01,1.137096276914531523e-02,5.700993236434962474e-01
4.974946898390540939e-01,4.654373888810314080e-02,-9.950094832988486820e-05,-2.387307506873647192e-03,2.189648888479705513e-01,8.163793652958669655e-01,3.592185239338551161e-01,-7.269282476781862862e-04,5.609749961243946093e-01
4.995597558670091809e-01,4.960980591705922010e-02,2.064763377021680210e-03,-3.148683817389569001e-04,2.232784409383506141e-01,7.987980091033642926e-01,3.024098734713402958e-01,1.350033267264634301e-03,5.659651272465925365e-01
5.049129655410161677e-01,5.596401659206717838e-02,7.519175354433143763e-03,5.046015291250626096e-03,2.308577620092044647e-01,7.837568567640921247e-01,2.525004252218432943e-01,6.715217996438494971e-03,5.741854761098171833e-01
4.908251108501219817e-01,4.287716290217404025e-02,-6.465473027048479135e-03,-9.033858480821822107e-03,2.189742989969397369e-01,7.485776755509523372e-01,1.878174809889345265e-01,-7.360581538882943198e-03,5.629090844691432283e-01
5.120347130092731680e-01,6.508776606232624662e-02,1.484933944752326283e-02,1.218403753502620736e-02,2.423671967215213496e-01,7.480517040110467031e-01,1.639898233479926970e-01,1.386115641203344677e-02,5.868765947314718012e-01
5.143130545788168195e-01,6.836710863287084883e-02,1.723489533849538805e-02,1.447099191717779627e-02,2.468083320664553604e-01,7.280045523193018342e-01,1.274821882614949053e-01,1.615171494890520545e-02,5.918612916895021892e-01
5.034597215334031262e-01,5.851477658845812696e-02,6.490780620518214750e-03,3.626596658319320658e-03,2.380978579372175774e-01,6.942916085566291917e-01,8.456798415039423755e-02,5.310680589360985276e-03,5.836646533228863065e-01
5.406964111757214253e-01,9.675246723177746699e-02,4.383869259628112025e-02,4.087255507917621905e-02,2.774580129105805870e-01,7.081917071474560510e-01,9.670890177849245095e-02,4.255975118270045182e-02,6.235101666573936718e-01
5.155916102293872649e-01,7.264866728644434057e-02,1.884711798939954497e-02,1.577735992139999224e-02,2.544578009242134398e-01,6.593316641395648992e-01,5.347456447743632879e-02,1.746741400280556883e-02,6.009680130999774939e-01
4.980920033161380100e-01,5.615006137419605720e-02,1.462741421610838947e-03,-1.712298175235950652e-03,2.390444012250570738e-01,6.177175398883563151e-01,2.457825920003735634e-02,-1.964577463907835227e-05,5.859864835282944107e-01
4.938449819020016562e-01,5.290404096106073040e-02,-2.667045641056902273e-03,-5.949021726667453290e-03,2.368656786729949615e-01,5.890569995946050019e-01,1.521292676066911438e-02,-4.254036125952856753e-03,5.842144932839552496e-01
4.960542155197883440e-01,5.611427557984843134e-02,-3.385736657936090459e-04,-3.729135182048386090e-03,2.411257562177243075e-01,5.666147338740056272e-01,1.792881706538687267e-02,-2.032086956943044993e-03,5.888571589338646994e-01
4.914734478858203692e-01,5.253450894688142109e-02,-4.798098936277010555e-03,-8.298888807020418298e-03,2.385788121761591996e-01,5.372061023529737245e-01,1.865707391477910287e-02,-6.600053986149668692e-03,5.866695994679801407e-01
5.191829600437113390e-01,8.124502210577343175e-02,2.303465959110661404e-02,1.942200446006623130e-02,2.683055444515929366e-01,5.399734428047386903e-01,5.552248732729278546e-02,2.112234439895886370e-02,6.167334041109682197e-01
4.881411782430337132e-01,5.120424130609678437e-02,-7.881871834070401650e-03,-1.160802311318004376e-02,2.392647794099951042e-01,4.839375239185068067e-01,3.643642883650245745e-02,-9.906464979321774958e-03,5.880082444952715592e-01
4.986213819285877924e-01,6.268544599265184203e-02,2.725586232992283781e-03,-1.115686063922842778e-03,2.517301807959208548e-01,4.694340974650968445e-01,6.057826317875868172e-02,5.867979003629905568e-04,6.007685866065914926e-01
4.910049617988571646e-01,5.607002686392224822e-02,-4.761575509221674905e-03,-8.719587675642449104e-03,2.460835086526940718e-01,4.369070002071172576e-01,6.723489098651848350e-02,-7.016475683092405005e-03,5.953969524918349965e-01
5.177791884357069163e-01,8.384525450177293671e-02,2.214391352115268122e-02,1.806754865156215417e-02,2.748123887543934551e-01,4.389057664460235819e-01,1.078445258952139413e-01,1.977098543647010792e-02,6.243816922596830965e-01
4.758925748151567325e-01,4.295964188222378688e-02,-1.960943369986481444e-02,-2.380575808825313722e-02,2.348656758644106224e-01,3.724408349060199241e-01,7.839594461759051558e-02,-2.210230517672822498e-02,5.846723497087571442e-01
4.938395651934343045e-01,6.190763326150238582e-02,-1.527172916046540090e-03,-5.845057620824645021e-03,2.547381433192417721e-01,3.660680828379924145e-01,1.065531836535683202e-01,-4.141902674323936356e-03,6.047643541001195278e-01
4.979282930890641667e-01,6.699736215813320572e-02,2.698829391131974276e-03,-1.742210409591835171e-03,2.607382416623041932e-01,3.461564304511038914e-01,1.179578226195519830e-01,-3.967294169593665182e-05,6.109667808150969215e-01
5.054272519873401759e-01,7.549732205741020719e-02,1.033706670696465761e-02,5.771283048775280138e-03,2.701347699577787420e-01,3.300343596821984637e-01,1.294033151065150933e-01,7.472878106533570666e-03,6.205490245429691187e-01
5.078327411752717735e-01,7.890381224634285262e-02,1.288383831846102133e-02,8.191728059322271605e-03,2.744243221958866941e-01,3.092572100908590471e-01,1.321221219303092553e-01,9.892050361471884865e-03,6.250082474229968765e-01
4.963327929402609473e-01,6.840486501233300487e-02,1.527176513022889676e-03,-3.292837072512974639e-03,2.647952150258706672e-01,2.750709584881506076e-01,1.172605648109054516e-01,-1.594123281340604267e-03,6.155333083888304690e-01
5.168086348232650007e-01,8.988170789633803670e-02,2.214830883160763195e-02,1.719882121226297064e-02,2.871289505101793371e-01,2.734135363586516210e-01,1.308820167605505569e-01,1.889558533125983847e-02,6.380062274194083782e-01
5.053490331139790515e-01,7.942310718805312142e-02,1.083600156391046829e-02,5.755475221381382324e-03,2.775145600898877296e-01,2.404290316253071547e-01,1.094737061895691976e-01,7.449943105269804695e-03,6.285165308959616004e-01
5.419361040380368255e-01,1.170111791131119017e-01,4.757237093556498236e-02,4.235924719851191095e-02,3.159344162136323297e-01,2.561533615613585946e-01,1.336160229921934395e-01,4.405106688674666204e-02,6.670470645260699882e-01
4.743670699941365809e-01,5.044314607021269103e-02,-1.984536065473047756e-02,-2.519263443961103702e-02,2.501859889900533984e-01,1.684358945528684759e-01,5.187946473606117048e-02,-2.350382030103749520e-02,6.013957512026109065e-01
5.105466994217597865e-01,8.762377649883690278e-02,1.648757523250550180e-02,1.100460476453000817e-02,2.881742864463152642e-01,1.852317596286286172e-01,7.308495490024344288e-02,1.269005061015024242e-02,6.394680323872885541e-01
4.822386610487509051e-01,6.031673912682899291e-02,-1.166515267488263050e-02,-1.728536044318444015e-02,2.616632091437207097e-01,1.383530748324940940e-01,3.001705025246587805e-02,-1.560365101888850844e-02,6.130282237762219033e-01
4.864383658646103115e-01,6.551744494368935690e-02,-7.308133387394466843e-03,-1.306711305521791357e-02,2.676483924978708129e-01,1.248416680986171590e-01,2.075413872203716453e-02,-1.138951356146235792e-02,6.190723586009200252e-01
5.337352048756085487e-01,1.138152849556886559e-01,4.014802410124061749e-02,3.424874395273626998e-02,3.167194448609478297e-01,1.553311989883744137e-01,5.698524455551698398e-02,3.592185463015242636e-02,6.681904266275691118e-01
5.296519669833370525e-01,1.107330480644180964e-01,3.622610869261386202e-02,3.018500550030540561e-02,3.143993657090867200e-01,1.353864659205832044e-01,4.530304638777639392e-02,3.185324310329083752e-02,6.659057932024723403e-01
4.684553505951235541e-01,5.053743267720565285e-02,-2.480718120594676418e-02,-3.099162398714646466e-02,2.549550575445061473e-01,5.931381278000338181e-02,-1.903111696565005367e-02,-2.932864908465605477e-02,6.064857119577600209e-01
4.962141077450310522e-01,7.929719082811413633e-02,3.116906439621539276e-03,-3.212386457520488743e-03,2.844554702922600375e-01,7.321917394528809631e-02,1.092811263702114788e-02,-1.555069245214136826e-03,6.359994699612980806e-01
4.988809592081112076e-01,8.296504329219532570e-02,5.951092404370552508e-03,-5.245551177288265872e-04,2.888535166753378736e-01,6.308989646674209584e-02,2.185368326710592987e-02,1.126704055457018608e-03,6.404003037982332058e-01
4.637729570689013148e-01,4.885804215398640432e-02,-2.898757122716250773e-02,-3.561107186519820583e-02,2.554664350300739351e-01,1.627501608716131615e-02,1.594135220031552003e-03,-3.396627643491013926e-02,6.070057630495432344e-01
4.991701576288946063e-01,8.525624371498066734e-02,6.580971846515604705e-03,-1.918743803993057774e-04,2.925744624474948541e-01,4.108385020681556976e-02,5.874720419695941831e-02,1.446046252808958323e-03,6.440963840563356246e-01
5.066845748546883188e-01,9.377166194177541381e-02,1.426873559200222963e-02,7.345057321301261093e-03,3.017897884431424149e-01,3.915487819408838138e-02,9.501201227406283478e-02,8.975686757308695002e-03,6.532846441752946376e-01
5.036922780089797547e-01,9.178036609706789750e-02,1.145178927199457485e-02,4.375798520636764791e-03,3.004886527983092193e-01,2.788777286675109268e-02,1.276133967792128510e-01,5.998715017878951741e-03,6.519470601708401425e-01
4.661065917717244211e-01,5.519568086081354241e-02,-2.595654243355189836e-02,-3.318632008440126901e-02,2.645845458807156714e-01,-1.678345838347342078e-02,1.320766641910640915e-01,-3.157154360440645596e-02,6.159973890544436781e-01
5.188247717020222360e-01,1.089148617921122941e-01,2.694099603446275734e-02,1.955596308332316000e-02,3.189748842958542996e-01,3.005615017496657271e-02,2.326850998555084205e-01,2.116216713522674556e-02,6.703333042245485096e-01
5.041558637797852738e-01,9.524695487087632417e-02,1.245345065595069439e-02,4.911700021758267677e-03,3.059688706086677312e-01,1.073033788891205459e-02,2.709275309279615129e-01,6.508893906951446207e-03,6.572642556488086374e-01
4.989478458458584398e-01,9.103993793795053802e-02,7.428799271756813920e-03,-2.711254102149806807e-04,3.024146349548020862e-01,2.098722434848545974e-03,3.226532760614932993e-01,1.316615246490415248e-03,6.536386119097753467e-01
4.871880857899176798e-01,8.028117888301077032e-02,-4.145590228443017319e-03,-1.200513930488466240e-02,2.922996933912888617e-01,-1.184277108672293112e-02,3.707074297993460110e-01,-1.042730025695462817e-02,6.434441189656243676e-01
5.120992744536309038e-01,1.061933685477249451e-01,2.095297299701908561e-02,1.293235519745316621e-02,3.188468809546337601e-01,1.213400136330500430e-02,4.570672733907459317e-01,1.449983894248914329e-02,6.699038335955136425e-01
5.156053792820286530e-01,1.107004743771237004e-01,2.464845639317379128e-02,1.646533155986523722e-02,3.239803054597175103e-01,1.595534278386247229e-02,5.223527668261341850e-01,1.802200099876772460e-02,6.749420775644597859e-01
4.918071447040656130e-01,8.790324080016168051e-02,1.041604388975726422e-03,-7.305459770657760088e-03,3.018008480209170008e-01,-6.278790323404193421e-03,5.593488951854045377e-01,-5.760068945507042584e-03,6.526599384905192869e-01
5.015224824564545880e-01,9.861957955355167560e-02,1.095032872113767958e-02,2.437898960633015817e-03,3.131265535099263531e-01,6.245604339109245111e-03,6.275933677564380364e-01,3.971541564808451184e-03,6.638756606300276752e-01
5.140542967729753165e-01,1.121523948710733826e-01,2.367753362343936671e-02,1.499831800555334604e-02,3.272604558728533508e-01,2.282440982583602840e-02,6.951903516630716373e-01,1.651973748673029110e-02,6.778924705046498467e-01
4.667843541353800529e-01,6.588345323447916679e-02,-2.339501442236686934e-02,-3.224243013610837011e-02,2.815844480030584296e-01,-1.917072275176505414e-02,6.984470422669056822e-01,-3.073371396991513363e-02,6.320924470678062068e-01
5.019964214672508751e-01,1.020965215673509396e-01,1.201645150730089665e-02,2.999427477265857733e-03,3.183824200514171476e-01,2.253078925180608885e-02,7.787346144992968178e-01,4.494954851398190454e-03,6.687596602931682455e-01
4.675840268015727386e-01,6.868512790267383705e-02,-2.219454055457219591e-02,-3.138257510330277195e-02,2.855480202050729166e-01,-4.193746362507355663e-03,7.832274240008203492e-01,-2.990072727849788642e-02,6.357879322172361736e-01
4.843157650481206833e-01,8.641786715022280185e-02,-5.259395698211216316e-03,-1.461983695000327807e-02,3.038499605610612275e-01,2.140504967120084381e-02,8.321921492215371696e-01,-1.315216470704631824e-02,6.539461430632556027e-01
5.079831161542696094e-01,1.110862192573726787e-01,1.861336602375869564e-02,9.079127902575269068e-03,3.290798353886820737e-01,5.509649427371224317e-02,8.811509129809529384e-01,1.053212326087830074e-02,6.790260497411653162e-01
4.975465819698670078e-01,1.016506860739711249e-01,8.384246461185160953e-03,-1.325172677683446147e-03,3.201982580915076482e-01,5.581603428158022490e-02,8.890336006143345626e-01,1.126392278757966728e-04,6.699884230352221026e-01
4.931999123155090259e-01,9.830501742061412140e-02,4.246995434664209076e-03,-5.638982852147343856e-03,3.173990873686005632e-01,6.372953513989125518e-02,8.962389190274472339e-01,-4.216866227670498443e-03,6.670272739795877204e-01
4.949699494107679953e-01,1.010760555168741248e-01,6.228455163768267973e-03,-3.835454383207929224e-03,3.207092717317093777e-01,7.883319502690969149e-02,9.032218715727131642e-01,-2.429550123332043735e-03,6.701696985793005323e-01
5.144147465182070667e-01,1.215218536253141746e-01,2.588667891106037622e-02,1.564347200973389626e-02,3.416869682344828019e-01,1.126517400922354972e-01,9.221708163953105108e-01,1.703264157141300486e-02,6.909739967332898525e-01
5.120121179250300969e-01,1.201202260331381694e-01,2.369948096374444382e-02,1.327561663191809474e-02,3.408100925357446243e-01,1.256270577388814980e-01,9.143671227135448110e-01,1.464752391686417916e-02,6.899182224820494813e-01
4.866208832440363508e-01,9.572999235314547106e-02,-1.474319065380157862e-03,-1.208019488581989036e-02,3.169375632786799457e-01,1.165795307227265459e-01,8.796108566491049885e-01,-1.072608269591231525e-02,6.658614285623545292e-01
5.049783346318345023e-01,1.150884447419445733e-01,1.710257098029503361e-02,6.313335631164454682e-03,3.368067693840571253e-01,1.522056004428556097e-01,8.856774584664518501e-01,7.649114673164576425e-03,6.855411338676516975e-01
4.919989409245382750e-01,1.031100520356493661e-01,4.344619936883942907e-03,-6.629316962978882080e-03,3.253322742578715898e-01,1.573765731828744019e-01,8.585720659010880329e-01,-5.312414351078018765e-03,6.738720278149704646e-01
5.408599297250668014e-01,1.529720418371788848e-01,5.342905540730555347e-02,4.226908095270514448e-02,3.756913979476819154e-01,2.252243100821116895e-01,8.925689072353344411e-01,4.356655862826774167e-02,7.240315526530729517e-01
4.874351193105389557e-01,1.005482324236520869e-01,2.296956686788920177e-04,-1.111764632662838592e-02,3.237580491162736496e-01,1.915751724355474472e-01,8.245989894329379677e-01,-9.840147312379332947e-03,6.718937355808779488e-01
4.946836813577958902e-01,1.087977954719099860e-01,7.705712397844940997e-03,-3.830321106102422234e-03,3.324914878308170563e-01,2.193389030370733184e-01,8.185946126472823936e-01,-2.573359691531981741e-03,6.804179516747200784e-01
4.940709816401278598e-01,1.091860967552429756e-01,7.322471368094061843e-03,-4.403571594390547420e-03,3.333571663207233193e-01,2.399295904226874110e-01,8.068696316330784546e-01,-3.167711925871355850e-03,6.810697647780015185e-01
4.925390383419317453e-01,1.086551544580478534e-01,6.021990763823086013e-03,-5.895373589059869218e-03,3.332971873510436334e-01,2.602362553515391586e-01,7.970546294046800817e-01,-4.681185015553901083e-03,6.807913860004221052e-01
5.023979723781126783e-01,1.195150894952297510e-01,1.611439149993716680e-02,4.004399842830826464e-03,3.446217545983393249e-01,2.925144335912931437e-01,8.019597906972664170e-01,5.196342775226734864e-03,6.918931242140334836e-01
5.046402933126115098e-01,1.227584114307296165e-01,1.859218314037719769e-02,6.288264283258493924e-03,3.483234586235096075e-01,3.177005982710986443e-01,8.028684631003031313e-01,7.457381836803599409e-03,6.953676721408991179e-01
4.724934564405560700e-01,9.161257555967518285e-02,-1.331717901972903975e-02,-2.581631895461302881e-02,3.176298340061773917e-01,3.089648570256419702e-01,7.730776711675466650e-01,-2.467061170377568904e-02,6.644426635972435768e-01
4.902603159821641299e-01,1.103804361022842212e-01,4.689159239836190873e-03,-8.006489632529940198e-03,3.368438125888550405e-01,3.505515485283378085e-01,7.967356905615259333e-01,-6.884782788808890483e-03,6.834211268425745001e-01
4.775598638564066412e-01,9.868098497752775256e-02,-7.769810161956075545e-03,-2.066324981348514889e-02,3.255844622989896298e-01,3.620201275233831395e-01,7.930891869512967096e-01,-1.956613865623858806e-02,6.719222235021234946e-01
5.210084951177210710e-01,1.431306172398431609e-01,3.592230782933156230e-02,2.282980157499480897e-02,3.704682526322625735e-01,4.299265790744014604e-01,8.481799045417443006e-01,2.390171659709835680e-02,7.165625141462148573e-01
5.418965756358963271e-01,1.650196987590194231e-01,5.705587908348803278e-02,4.376303642073492428e-02,3.927856223773458222e-01,4.755001372378444557e-01,8.825450623725005217e-01,4.480914969539367965e-02,7.386325261069826009e-01
5.235071204801456934e-01,1.476312446042698789e-01,3.891391866972671032e-02,2.541947581098462014e-02,3.758196580432079381e-01,4.819621162447595974e-01,8.785673127952869921e-01,2.643917656797862073e-02,7.214154319937364779e-01
5.058840037001663958e-01,1.310091288252915875e-01,2.154030063774465750e-02,7.842999813477025128e-03,3.596143036818405525e-01,4.892942745018145634e-01,8.752804302133165848e-01,8.835672130421357018e-03,7.049552596000404625e-01
