uniform,persistent,antipersistent
2.310027472350587585e-01,6.747898437446808728e-02,3.493217810820634650e-01
1.517142621429860005e-01,7.284003337582856119e-02,3.347832334476172900e-01
3.749042335793959513e-01,7.033823880178084742e-02,3.933420233688103007e-01
6.335859731440318665e-01,7.169770797523203343e-02,4.536244680809011220e-01
3.600579234779806015e-01,7.731998225942038339e-02,4.202495870027962988e-01
5.520002177521808884e-01,8.240971971113869587e-02,4.226561500993961662e-01
7.822564476282197754e-01,8.348526264535145736e-02,5.409897978721321943e-01
6.822950656499716660e-01,8.790825706556838759e-02,5.192832073319988417e-01
9.044099650951373803e-01,8.759850926455811648e-02,6.786580886399464774e-01
7.714921151583348236e-01,9.256482932913254191e-02,6.585602199769873266e-01
3.550957021093873456e-01,9.362483360677437139e-02,5.935330542421286548e-01
9.863485873763708778e-01,9.804335469108829693e-02,6.290563770202316496e-01
9.068672973639062551e-01,1.048957668267957166e-01,7.381194959036582182e-01
5.501949921554680767e-01,1.063894316473374818e-01,7.170441580897836120e-01
5.826852476337508469e-01,1.086573526734868483e-01,7.252633796662070198e-01
4.779599465274376735e-01,1.100164238421906387e-01,6.362421183791889812e-01
3.334993216886737999e-01,1.130451096000058137e-01,7.304027048539183387e-01
7.942594040181516490e-02,1.132122363026801665e-01,7.598081995430459035e-01
2.938479721751061646e-01,1.127981933717123464e-01,7.066732412918659278e-01
6.139173250395912884e-02,1.165038170802932538e-01,6.572868860682081760e-01
3.079433465951276760e-01,1.233388953285158990e-01,5.687309205387667266e-01
1.654626176010742800e-01,1.241474584764917927e-01,6.241353167348343556e-01
8.137847860786102672e-01,1.181832593108109036e-01,5.791168143418230496e-01
8.923787178986295476e-01,1.224845380993989652e-01,4.476654512583801426e-01
9.079867023353231925e-01,1.264409071331990819e-01,4.131903979402237748e-01
9.636036494925701579e-01,1.267012909729905434e-01,3.187890842637481903e-01
4.633299835924898913e-01,1.293230932825695234e-01,3.475957690557837099e-01
4.690387668605573435e-01,1.269505292566339705e-01,3.160614018876809483e-01
9.860999009824574779e-01,1.293781796038322163e-01,4.316584891263370305e-01
3.101080806763580888e-01,1.299981545840992458e-01,3.407666342923549863e-01
5.103742932960746437e-01,1.316650864991572856e-01,3.712968811410747860e-01
2.380332933414820440e-01,1.356585385471928418e-01,3.819806332802444526e-01
3.954171230773407819e-01,1.315171484674770019e-01,5.487430761377805055e-01
5.804130711912143248e-01,1.330409366925134340e-01,4.127925783142975535e-01
3.127526962002008526e-01,1.301510273831828768e-01,3.958765583000085075e-01
9.661653873508861956e-01,1.330096609230653482e-01,2.442338690682244184e-01
9.800399589204169537e-01,1.282001899214489649e-01,2.577939880603966616e-01
1.485618261285940322e-01,1.272841557160206138e-01,3.342385432724569450e-01
2.685672118298417788e-01,1.275985016151086893e-01,3.374280840055348674e-01
4.571683011121574491e-01,1.245630938536570337e-01,4.706731147414774385e-01
4.208879702297130265e-02,1.196545356525798715e-01,5.369978342124992476e-01
1.558989486119291001e-01,1.282120846237765066e-01,5.844248467212027620e-01
2.164042658348630521e-01,1.298339220449951648e-01,5.779776323777061631e-01
8.215084064629860627e-01,1.320761875594734236e-01,5.642675843748017339e-01
3.478870878171647085e-02,1.259824381401756233e-01,4.976100866216929264e-01
7.086648754237687697e-01,1.357599313638259142e-01,3.251074635411406177e-01
4.851542884431677694e-01,1.416443741823861513e-01,3.380839780698479125e-01
5.473081738624622217e-01,1.419924014504898024e-01,2.608060832536823748e-01
3.937748683647910308e-01,1.410517184740959773e-01,2.563504072751440210e-01
8.320504057491945327e-01,1.403099625241408521e-01,1.522457825030276157e-01
8.611144779089838774e-01,1.403474260677507746e-01,2.041946143689491455e-01
2.290874660451228673e-01,1.445270742839155909e-01,2.977152212254448038e-01
6.581167684163954368e-01,1.474483969535112515e-01,2.406551507665716794e-01
2.460953512857011471e-01,1.503206748227993439e-01,2.586532213750712406e-01
7.861274489590602821e-01,1.479304388219363775e-01,3.180302591223262421e-01
1.981602923019876172e-01,1.507890112707237218e-01,2.816441698544281946e-01
7.464179593251099032e-01,1.546571090952637839e-01,1.245393866024827323e-01
9.662892884054306020e-01,1.529489801415292727e-01,1.505345079099670302e-01
4.705966295635022334e-04,1.488276050465715261e-01,3.413706977102086149e-01
1.419379448182697123e-01,1.497336595328964404e-01,3.869863651758670420e-01
9.900327536283614061e-01,1.530180063777280552e-01,2.848044783559162130e-01
2.468967341047646480e-01,1.526662094574482709e-01,3.649107154590826019e-01
3.607073468881902834e-01,1.536998751509460470e-01,2.993519128929293949e-01
5.416325184517474245e-01,1.590628528199982128e-01,1.972440756397457473e-01
4.664261763573210873e-01,1.604188597848438813e-01,3.439878356215578248e-01
6.579534873439429887e-02,1.562071784383576578e-01,1.306963213821004111e-01
7.186758873521676971e-01,1.552297202539692500e-01,2.765185540519188301e-01
1.374906118179063386e-01,1.583172983721327365e-01,3.468989665528053323e-01
9.482245304896951277e-01,1.570924783264821545e-01,3.577245979203128590e-01
4.495443641525742606e-02,1.584345448392469324e-01,4.063446790347982063e-01
1.267378809813982654e-01,1.551070201274677984e-01,4.722124692451148964e-01
7.946721984140400208e-01,1.581377101998203971e-01,5.598626424014572223e-01
4.643537107173321132e-01,1.595008197706631603e-01,6.322724426767680761e-01
9.455773009636859738e-01,1.627100227707737878e-01,5.073952991542214352e-01
7.957470406565634313e-01,1.626842836971309214e-01,4.399683021928196824e-01
2.647458465416523410e-01,1.579704029807897925e-01,4.953746445596403647e-01
9.060277999453218989e-01,1.603447009696902237e-01,4.377343929496337882e-01
3.710137211303129456e-01,1.604112022543267568e-01,4.523961794068205311e-01
2.344383648256290753e-01,1.603391824821863987e-01,4.108605481171465068e-01
1.909978177320679205e-01,1.587952940091097442e-01,3.458687284478370039e-01
9.322352974079243237e-01,1.606948747689176948e-01,2.483631574551435350e-01
7.985395259922056788e-02,1.618581286098010885e-01,3.321770456525435788e-01
4.933038639330064035e-01,1.600572507727765215e-01,3.116305131433325104e-01
3.398399717507794016e-02,1.583921000277077606e-01,5.627362930160139110e-01
5.195054467582800317e-01,1.590008883515636184e-01,5.858984755737913774e-01
3.189681017554149012e-01,1.558359299779679963e-01,7.211982393542407666e-01
1.313256052262989915e-01,1.582268033086753900e-01,6.975430670082193307e-01
2.221936833727506944e-01,1.547144878589091777e-01,5.298834082688548275e-01
2.551072128921458848e-01,1.562804441313706827e-01,6.742885643445266641e-01
2.686205885698789153e-02,1.578537704592382351e-01,5.658831959583587867e-01
4.941571751064700591e-01,1.594558309537953411e-01,5.559674743373703709e-01
2.034996159319133469e-01,1.600019067192604838e-01,5.200011242114589427e-01
9.385639699475529785e-01,1.589464963867890934e-01,4.590430736167461778e-01
5.728406838740117690e-01,1.548742074728872153e-01,4.103351960829010325e-01
9.026409379684646739e-01,1.564494338142178864e-01,4.245596748376784246e-01
2.509894872187244941e-01,1.592171541335919149e-01,3.135447622351245078e-01
1.642041170100476677e-01,1.600566027230247435e-01,3.095602846523164975e-01
7.833561351828535191e-01,1.598366257669901758e-01,1.499127104309727343e-01
2.827870289342560017e-01,1.611778394301785489e-01,0.000000000000000000e+00
5.010112661516809007e-01,1.647667957968051711e-01,1.068012118154615664e-01
5.493013191360276437e-01,1.705653456540164037e-01,1.212218670178457636e-01
1.847341652288774227e-01,1.707651449166638913e-01,1.471414138257950421e-01
1.659196527365008889e-01,1.718688802612884925e-01,2.160289748694509959e-01
5.243217312911196970e-02,1.695780060342915174e-01,1.975884292024176203e-01
1.135979938798162836e-01,1.707769951701892663e-01,2.478337370640774917e-01
7.822383479101634451e-01,1.711279983695755957e-01,3.153784054103362378e-01
8.470295441214577004e-01,1.722685000944702005e-01,6.009849190946155995e-01
4.854191725769234633e-01,1.751974902868488337e-01,4.899108635940670475e-01
5.764942154986287814e-01,1.737924909687207087e-01,6.593773967236750133e-01
1.818237082725016052e-01,1.739381435620052097e-01,7.447088196782358782e-01
4.405430127155550712e-01,1.748447439052890351e-01,6.820626881084652648e-01
3.495132949779582443e-01,1.759213354935019180e-01,6.452903727923646748e-01
3.448474753073671462e-01,1.785858015698119916e-01,5.767378194629289023e-01
9.546015240294305482e-01,1.844815472442379312e-01,6.253568674794754978e-01
6.444824825516056732e-01,1.875894738182533328e-01,7.704154227047131931e-01
4.033994893122806458e-01,1.888784038642954688e-01,7.975319163336231920e-01
3.644034308050346782e-01,1.901461044535018852e-01,7.348250944657159778e-01
3.924749486571432744e-01,1.949493523071274825e-01,8.432508122476415346e-01
9.685496411115838145e-01,1.974330677456244409e-01,8.073985557931162571e-01
7.065998168473945906e-01,1.939638713788215951e-01,7.996486277029006828e-01
1.122940795017887128e-01,1.996597508978703861e-01,6.874770449221900837e-01
1.018669925345780936e-01,2.006944908171215403e-01,6.343785511736235172e-01
1.101150438710304380e-01,2.014540059288242313e-01,6.040529089376978078e-01
5.270510136460461181e-01,2.034502576589224676e-01,5.101592420362793812e-01
4.222588373460758326e-01,2.042183391534417025e-01,5.712268952937662458e-01
9.314683255324344158e-01,2.057352542696938569e-01,6.742308181975256165e-01
9.459869848478356102e-01,2.084393779853908335e-01,6.357703461645706211e-01
6.652508490968092048e-01,2.092378477246573387e-01,6.059777242218078452e-01
8.368891778678978488e-01,2.108136099643623806e-01,5.649150809117432503e-01
9.142772115040360692e-01,2.154429320616535193e-01,4.870888164363579853e-01
5.183027673519795542e-01,2.193355804770517892e-01,3.841075642602739815e-01
8.806851755174130991e-01,2.236088175973084125e-01,5.479349103147694855e-01
1.343133577967633441e-01,2.231265498914150880e-01,5.276013190366788397e-01
3.047703551073206452e-01,2.237143347374972446e-01,4.591397281043576029e-01
9.408275295785665238e-01,2.232857931447159716e-01,3.784494832282447319e-01
3.540420037332807635e-01,2.246800955107193798e-01,4.664109515731726385e-01
1.754145931711424966e-01,2.268917475482964685e-01,4.858000067857636273e-01
6.183716146436338823e-01,2.294750036560442852e-01,6.061689324811831980e-01
1.143232650746858203e-01,2.308234360621756187e-01,4.745209230407090306e-01
6.311984670293994126e-01,2.365192713863226714e-01,4.193858920438121585e-01
1.110785810176881938e-01,2.357697610714284131e-01,3.716517918778733942e-01
8.706021874349044731e-01,2.395673091173270430e-01,4.070103649021049597e-01
6.165037691869236225e-01,2.351455866412269502e-01,3.000353953553343556e-01
4.726430665370081607e-01,2.367083083503672414e-01,3.164677254513131865e-01
7.445828810371493134e-01,2.447944035961379938e-01,4.488544576362271110e-01
3.815258134319446937e-01,2.478190826900013854e-01,4.275627777125379225e-01
8.965732738831089232e-01,2.517298367752531241e-01,3.809391926033220965e-01
1.900245173006774868e-01,2.522678709753561344e-01,3.411594244319136049e-01
9.873982420460162279e-01,2.515729703514476001e-01,5.015065827367636286e-01
2.152535961631241168e-01,2.533831197305507210e-01,6.143230759322504397e-01
2.614256509479218060e-02,2.561307626450934904e-01,5.990399240604756814e-01
8.599240312146381182e-01,2.555630199877357289e-01,6.736606427506057759e-01
7.706936337123748704e-01,2.538733295363575504e-01,7.344160107160565554e-01
3.171933856827923170e-01,2.539702853893727741e-01,7.192860462656170961e-01
6.385098829197221049e-01,2.488633719529249055e-01,6.556650001989422494e-01
2.561663531373659097e-03,2.510843539628880849e-01,6.821058679578837491e-01
9.191459083506001715e-01,2.495204566519008682e-01,6.412137039325598309e-01
2.325568651057393632e-01,2.505954782409806625e-01,6.353830464423662061e-01
5.519086651165459045e-01,2.487956835666339517e-01,5.641431191291886860e-01
6.827507168196531584e-01,2.506489832670295015e-01,4.977132944565321182e-01
1.610299907414799447e-01,2.505039800301250841e-01,3.689981150057795589e-01
2.455514212401368468e-01,2.523684832514727638e-01,4.201407198378241392e-01
7.341850231411206629e-01,2.559787789701393756e-01,4.805754494583160397e-01
3.886159309162889874e-01,2.537107052293460230e-01,4.463847460624852936e-01
3.080629110538771753e-01,2.472459913437872747e-01,4.526473553807749406e-01
8.245851847583517413e-01,2.537985035954401503e-01,5.195893855522614180e-01
7.248875481799255116e-01,2.526248222203400506e-01,3.893778062204220625e-01
5.117890353360680100e-01,2.604238323642315556e-01,3.430301183678971522e-01
4.191586725334739416e-02,2.583591145017166135e-01,3.932406342619738093e-01
6.538666649824859123e-01,2.580491803231218517e-01,4.199385221241280775e-01
5.251319775798328759e-01,2.592761143224088238e-01,4.642123371950762079e-01
6.856329597638516349e-01,2.597652641049452149e-01,3.799309407203189104e-01
7.896098306157717239e-01,2.544632368933504862e-01,3.385054400795676766e-01
5.513883267896182439e-01,2.557693264861676252e-01,3.773765445297980747e-01
8.466492556584588325e-01,2.530434681533926811e-01,4.348836099981079339e-01
1.153696033038719149e-01,2.491785633524914167e-01,5.178046595528524865e-01
6.153423695536983651e-01,2.496451505306685748e-01,4.984353260665368435e-01
6.488462605031759534e-01,2.413560326180097526e-01,5.542413656980557102e-01
2.221905700578141740e-01,2.459325184373473139e-01,6.264652186609940276e-01
2.301339697849388299e-01,2.449304908044058759e-01,6.184166593546173152e-01
7.586323269686169324e-01,2.424171790634001289e-01,5.895791765182712973e-01
1.304414910298680175e-01,2.438877584157144729e-01,5.002773200809100818e-01
1.517914975727425730e-01,2.487018617461751180e-01,4.864353980371829422e-01
8.027124058107526494e-02,2.504027965041414894e-01,2.856575297371120037e-01
7.408209516027406405e-01,2.536816503323270910e-01,3.163637136410308304e-01
2.074740089986719660e-01,2.525359830556653806e-01,2.065054247641897600e-01
4.494197853289291222e-01,2.570876480252696772e-01,3.022114173242417268e-01
1.211668583149972944e-01,2.609089402818620673e-01,3.687046689534193011e-01
9.480246421206972585e-01,2.616111724467130029e-01,3.824913846684230845e-01
4.737777321889992121e-01,2.598576923080891388e-01,3.210068966628282228e-01
5.143081053803498781e-01,2.572287391821665992e-01,3.345453520941588654e-01
1.243992726194477205e-01,2.575645200493506537e-01,3.537416822687091678e-01
6.423493338173278389e-01,2.632906265760627806e-01,4.533409673376171400e-01
7.427886614546683752e-01,2.614144190424413372e-01,4.297616757080938155e-01
6.050455547506375931e-01,2.602468289339863183e-01,4.696806933382229321e-01
2.983899050383965745e-01,2.553568621676163275e-01,5.457168603441010513e-01
9.456723821423133058e-01,2.552913171444918250e-01,5.299683069122800294e-01
9.881989277412461803e-02,2.570012619887085403e-01,6.791001021961146078e-01
3.465801231305623009e-01,2.612037551959415782e-01,6.342589160800261583e-01
7.426782558874492901e-01,2.634034097728736312e-01,7.614799064043887844e-01
4.199601238764097966e-01,2.677987755816643167e-01,7.321332419402852842e-01
2.801776762089591699e-01,2.669926417923217388e-01,7.848012416903080712e-01
3.253578375629569974e-01,2.627926336899858994e-01,7.809263839471368707e-01
5.413571852391868555e-01,2.662896698381980176e-01,8.505012805942661069e-01
7.333423704968922152e-01,2.599737075456315383e-01,8.490511674217005034e-01
4.885798237921908926e-01,2.619804831911216048e-01,9.305833037582054157e-01
7.743022507620078709e-01,2.644886596834254977e-01,7.374404224429681465e-01
1.770031842009330836e-01,2.630725851782175218e-01,7.044741333974957609e-01
2.816823504133108003e-01,2.641206373298094490e-01,7.167318877716543080e-01
8.729223264647155700e-01,2.641839894889668749e-01,7.019399086097738438e-01
5.344314514049213205e-01,2.672368561910854479e-01,5.805315810097465556e-01
3.458982361305973363e-01,2.737053615036969534e-01,5.764666351063139071e-01
8.446963487588997621e-01,2.739765775693732142e-01,6.688045177858017443e-01
4.925833704183868456e-02,2.675918561111143568e-01,6.499193736414587974e-01
8.755476653215558125e-01,2.682127380335397326e-01,7.270692253740322908e-01
5.149254190601486592e-01,2.711263951192638411e-01,7.064496720903884475e-01
7.100343476059827186e-01,2.720095613674652357e-01,7.046315331720938158e-01
2.838746855624576515e-01,2.771233366037442747e-01,7.374060284909323970e-01
2.707501887906793581e-02,2.836965674251205050e-01,7.171812330081348552e-01
2.889212941952401525e-02,2.873942652643679541e-01,5.970118088872813367e-01
3.200730585495222824e-01,2.852045981097121596e-01,6.333209935753730813e-01
9.071082867470430244e-01,2.859148481790647067e-01,5.961072692797725336e-01
9.535591564973278089e-01,2.790735214585447488e-01,6.840645120980752836e-01
2.185830979736185231e-01,2.759522971023193882e-01,6.630006952117017960e-01
1.972225370220253016e-01,2.761795386978155853e-01,6.451070386465629358e-01
7.575547736667300747e-01,2.776765972450757625e-01,7.148996618943764814e-01
8.204710466189094609e-01,2.772325665539175921e-01,5.749742510237970672e-01
3.831346132904855928e-02,2.806888638092214228e-01,5.033482620874303315e-01
6.673518171812278243e-01,2.846045341730994993e-01,4.150370942672486074e-01
7.459182680719833591e-01,2.842845950256344123e-01,3.901105586880944109e-01
6.392321162895001629e-01,2.753957485732457799e-01,3.651787280596169860e-01
8.808858857241913531e-01,2.713988136446245369e-01,4.378460741348357277e-01
1.572616719786076311e-01,2.723615143764719915e-01,4.720699356362911270e-01
4.360410434317060213e-01,2.718416684050089516e-01,4.120140728798216689e-01
9.292132611226209260e-01,2.735914091192341302e-01,3.888718121325443478e-01
2.312682153239802307e-01,2.736045885493491592e-01,4.434613582620604566e-01
8.451468840859474030e-01,2.752670379032664538e-01,6.499036645292785019e-01
7.683830825307311763e-01,2.765596047311317807e-01,5.641983657920685014e-01
3.333221702663986541e-01,2.746159178944895807e-01,3.998530320557637796e-01
9.373570572019052083e-01,2.768539195812377285e-01,4.684406421875414450e-01
3.791415603903592890e-01,2.822621354403513916e-01,5.278398954688297007e-01
6.583601356971469087e-01,2.868709527326851472e-01,3.719145561508813147e-01
5.547953759717617617e-01,2.899922999711589400e-01,3.691498743274197469e-01
8.965905240410131372e-01,2.959166829941773380e-01,3.617098283404200920e-01
2.944043453943645527e-01,2.987203595920641663e-01,4.517554643464844477e-01
4.362996471675386623e-01,3.016585520008276955e-01,2.455211959149315726e-01
3.558880917865080429e-01,3.020826159992696103e-01,2.897771849539302336e-01
1.544062762513893627e-01,3.068576656826137450e-01,2.586265408740231475e-01
8.157003092233288122e-01,3.117247966122713154e-01,3.361191163985936536e-01
4.135454181172917298e-01,3.138205154810799757e-01,3.701462306908641642e-01
4.700410915513514309e-01,3.131695614289159990e-01,3.854855313061062438e-01
6.661968279257461933e-01,3.141188183523258015e-01,2.361968390303668119e-01
1.520168152403886808e-01,3.122067257520799721e-01,2.803994462361521500e-01
1.058591240993099758e-01,3.116501739952802774e-01,3.774779276534108163e-01
8.915004441956725367e-01,3.128889425466004348e-01,3.104193666116422112e-01
1.626354555775868516e-01,3.069032983836973982e-01,2.746822641496676765e-01
1.025151530606047690e-01,3.069804290641313105e-01,2.978039314803084259e-01
4.358966764039273745e-02,3.086649502337528994e-01,4.216800427130116824e-01
3.585990594385918273e-01,3.092164418444703911e-01,5.487220600473367016e-01
6.798350016243034366e-01,3.090041657363317706e-01,4.880329105930997224e-01
9.627204107908627906e-01,3.096929645074842918e-01,4.651517004824983759e-01
8.180374906167245941e-01,3.045704866012785006e-01,2.830733428485720515e-01
9.225689974312023534e-01,3.067976567978188962e-01,4.191282457270802952e-01
3.409810942208131301e-01,3.086605183073685144e-01,3.160522137234693107e-01
9.544177348754208090e-01,3.140974275042465735e-01,2.725488981127777155e-01
8.052106486248299388e-01,3.157872818539137483e-01,2.879829838379990847e-01
2.759939164670285328e-01,3.192870359031028116e-01,1.652905606803651839e-01
8.129355869481322827e-01,3.200406262461801266e-01,2.299235655777083498e-01
4.194472323535378688e-01,3.219280595044159421e-01,1.821336147608305644e-01
4.407562509325788636e-01,3.234366123354845413e-01,2.626710916443467103e-01
4.273291935175577150e-01,3.238786489657912715e-01,1.578429622664347665e-01
2.851228921155670726e-01,3.229284084198367211e-01,3.404537509321103328e-01
7.801123536567979855e-01,3.212993552535847175e-01,3.119274117632455656e-01
6.320486046064210939e-01,3.246345992929919877e-01,2.112072736615911439e-01
2.287119161279689283e-01,3.248747754350051475e-01,1.659409847887328981e-01
9.289555281798667075e-01,3.329853027308073976e-01,2.164433057495179780e-01
7.141308005761689559e-01,3.349828968509017124e-01,2.667049439867568150e-01
5.238866834040752929e-01,3.425387791281215288e-01,2.681603858604066914e-01
3.200236340541007252e-01,3.402735624973410311e-01,8.054711038438659709e-02
1.942923285524011945e-01,3.406809453089529871e-01,1.285304410460157976e-01
5.057979312958983398e-01,3.426424857866435247e-01,3.408725242008772000e-02
8.959013827993600465e-01,3.433173775633504565e-01,2.257151000196906676e-01
4.297730251025400072e-01,3.452329144216370604e-01,2.683450401954944886e-01
4.668554697000957265e-01,3.477094068736962251e-01,2.053657201975417623e-01
4.503321543117977388e-02,3.524506855856274767e-01,3.577446855236442458e-01
6.560420250476227677e-01,3.541972703834101455e-01,2.146474792648660201e-01
2.370454248140512199e-01,3.530421819996107380e-01,2.911866772914518120e-01
5.062944510866366210e-01,3.545340251511284180e-01,1.921588302779655699e-01
6.739976960704590070e-01,3.605371041031479318e-01,2.321076654895044000e-01
7.864330949459953368e-01,3.591005764605096906e-01,3.877080602392515840e-01
2.774419661973821505e-01,3.635702748401778983e-01,4.112641517877871911e-01
4.860807935050547313e-01,3.676061564705377926e-01,4.434497785595892250e-01
7.932395426943347205e-01,3.686267437228379351e-01,4.982429783649917621e-01
4.467622146995613441e-01,3.651635205629049641e-01,5.762073727423724367e-01
2.404314018244794182e-01,3.663853687411604554e-01,5.820704662240268057e-01
7.036698935439625879e-01,3.684670906744291208e-01,6.264599381577661275e-01
7.623814936632492545e-01,3.697801391859860121e-01,5.897638699954380614e-01
5.967298022581911665e-01,3.691476474961984389e-01,4.578040812055302333e-01
