random,persistent,antipersistent
3.217785863058331142e-01,8.848677517775209722e-01,3.107701994075363072e-01
4.212189071967245013e-01,8.765217423308681033e-01,3.770628005960534046e-01
3.280986277079148694e-01,8.145169565525514077e-01,3.169275996761219405e-01
3.801372928025961162e-01,7.797554959022470200e-01,2.872963408794229623e-01
2.400917474648902872e-01,7.507636811425968393e-01,2.473369025829731394e-01
2.865729995315242640e-01,7.472191969429949898e-01,2.391564824340449424e-01
3.585422162673804203e-01,7.587182925840735281e-01,3.955210417180407556e-01
3.707933755652519370e-01,7.875990345132879433e-01,3.468351010392962119e-01
3.890424908338029897e-01,7.874896117980003662e-01,3.462120267448551836e-01
3.964568909533038310e-01,7.934918719379236984e-01,5.097719699075898836e-01
4.565560524165120926e-01,7.953238678002897410e-01,5.619605188519074535e-01
4.100536082736852550e-01,7.958348929765539648e-01,5.344408678436964877e-01
5.845117199253210272e-01,7.303318182080559273e-01,7.408098477052235120e-01
5.445182077424327582e-01,7.068902093579136903e-01,7.607457040827575456e-01
5.286852129237197273e-01,6.557433026493654227e-01,7.678582230525911045e-01
5.069611293715061695e-01,6.611804219138801564e-01,7.695786991634646634e-01
4.967505058862417555e-01,7.044896387173815722e-01,8.872835788120073675e-01
4.367242144824139971e-01,7.357970217166657223e-01,9.863048227343313989e-01
4.022633462809120930e-01,7.741869935585443674e-01,9.197794405731516409e-01
2.680561487502567952e-01,8.512166496566091478e-01,1.000000000000000000e+00
1.091031731600970583e-01,8.993964171455465229e-01,9.861100502722164318e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.812424350487834124e-01
